id	output
{"address":"0xc2E9d07F66A89c44062459A47a0D2Dc038E4fb16","chainId":56}	{"name": "Staked BNB", "symbol": "stkBNB", "decimals": 18}
{"address":"0x4268B8F0B87b6Eae5d897996E6b845ddbD99Adf3","chainId":56}	{"name": "Axelar Wrapped USDC", "symbol": "axlUSDC", "decimals": 6}
{"address":"0x8AC76a51cc950d9822D68b83fE1Ad97B32Cd580d","chainId":56}	{"name": "USD Coin", "symbol": "USDC", "decimals": 18}
{"address":"0xe9e7CEA3DedcA5984780Bafc599bD69ADd087D56","chainId":56}	{"name": "BUSD Token", "symbol": "BUSD", "decimals": 18}
{"address":"0x55d398326f99059fF775485246999027B3197955","chainId":56}	{"name": "Tether USD", "symbol": "USDT", "decimals": 18}
{"address":"0x0E09FaBB73Bd3Ade0a17ECC321fD13a19e81cE82","chainId":56}	{"name": "PancakeSwap Token", "symbol": "Cake", "decimals": 18}
{"address":"0x7130d2A12B9BCbFAe4f2634d864A1Ee1Ce3Ead9c","chainId":56}	{"name": "BTCB Token", "symbol": "BTCB", "decimals": 18}
{"address":"0x2170Ed0880ac9A755fd29B2688956BD959F933F8","chainId":56}	{"name": "Ethereum Token", "symbol": "ETH", "decimals": 18}
{"address":"0xF8A0BF9cF54Bb92F17374d9e9A321E6a111a51bD","chainId":56}	{"name": "ChainLink Token", "symbol": "LINK", "decimals": 18}
{"address":"0x1D2F0da169ceB9fC7B3144628dB156f3F6c60dBE","chainId":56}	{"name": "XRP Token", "symbol": "XRP", "decimals": 18}
{"address":"0x85EAC5Ac2F758618dFa09bDbe0cf174e7d574D5B","chainId":56}	{"name": "TRON", "symbol": "TRX", "decimals": 18}
{"address":"0x3EE2200Efb3400fAbB9AacF31297cBdD1d435D47","chainId":56}	{"name": "Cardano Token", "symbol": "ADA", "decimals": 18}
{"address":"0x7083609fCE4d1d8Dc0C979AAb8c869Ea2C873402","chainId":56}	{"name": "Polkadot Token", "symbol": "DOT", "decimals": 18}
{"address":"0xD5FFAB1841B9137D5528Ed09D6Ebb66c3088aeDE","chainId":56}	{"name": "Twoge Inu", "symbol": "TWOGE", "decimals": 5}
{"address":"0x47BEAd2563dCBf3bF2c9407fEa4dC236fAbA485A","chainId":56}	{"name": "Swipe", "symbol": "SXP", "decimals": 18}
{"address":"0x7465BF0AD28B01657eE6f8E128E65Ad73fA5a116","chainId":56}	{"name": "wo62gg", "symbol": "wo62gg", "decimals": 18}
{"address":"0xb430A81B0394Fa9745F0FB229f9867E771700F1A","chainId":56}	{"name": "dGiser", "symbol": "GSR", "decimals": 9}
{"address":"0x931Ad96749A2B18Adc7e9F93056f9b93648c2AFE","chainId":56}	{"name": "dGiser", "symbol": "GSR", "decimals": 9}
{"address":"0xF3c0d0cfb95C0B3241AD802fbDad7258c4459E58","chainId":56}	{"name": "Dollar Shiba Inu", "symbol": "DShib", "decimals": 18}
{"address":"0x5d5Ef6AD3a230Bc0bbd756B69Ee8db6754a384C8","chainId":56}	{"name": "Baby Shar Pei", "symbol": "BABYSHARPEI🐶", "decimals": 9}
{"address":"0xc7A0F57F186FA61F99D589B370FcBF8F7Cd1A9Fc","chainId":56}	{"name": "Rocket Moon", "symbol": "ROCKETMOON🚀", "decimals": 9}
{"address":"0x591742632B8cE51D8353C9db36b70E0DeDdB0Fe6","chainId":56}	{"name": "Myria", "symbol": "MYRIA", "decimals": 9}
{"address":"0x0a67451cE1b7a651921BB6735A40772D0AdE659B","chainId":56}	{"name": "RAPE", "symbol": "ME", "decimals": 18}
{"address":"0x6EF4B047EEbBF8072fE62C097850b4031147a600","chainId":56}	{"name": "AiToken", "symbol": "AiToken", "decimals": 18}
{"address":"0x20F31D4Ca6d76CB2Fe24C03b3b536265d8646909","chainId":56}	{"name": "AI Trader", "symbol": "AIT", "decimals": 8}
{"address":"0x04F4D945Be4f8c0471FD0099c2f775E07582e4A5","chainId":56}	{"name": "Baby Apex", "symbol": "BAX", "decimals": 18}
{"address":"0x3f86AD68D846619F7FAd91226F8F66D26F172c59","chainId":56}	{"name": "dGiser", "symbol": "GSR", "decimals": 9}
{"address":"0x87Bc7abB1cbE4653349CA5b6fFc83Cce0196e931","chainId":56}	{"name": "ChaT", "symbol": "CHAT", "decimals": 18}
{"address":"0xbD8f94D444fb7086dD326471eb3BCcF09A3e5f34","chainId":56}	{"name": "AiToken", "symbol": "AiToken", "decimals": 18}
{"address":"0x64786101b6ee176F8721349e9CcB1e1d6d2425B5","chainId":56}	{"name": "FUSE NETWORK", "symbol": "FUSE", "decimals": 9}
{"address":"0xE26aC5f5a808C4E54cDd4946121e77853Dbf9546","chainId":56}	{"name": "Ai Pad", "symbol": "AiPad", "decimals": 18}
{"address":"0x85D128F0415AE50683a972732f98C168CE3ced6f","chainId":56}	{"name": "Hulk Token", "symbol": "HULK", "decimals": 18}
{"address":"0xDfA1C5FCD4d64729cdf6d553B2FB1def11a7c689","chainId":56}	{"name": "DCOREUM", "symbol": "DCO", "decimals": 18}
{"address":"0xD06716E1Ff2E492Cc5034c2E81805562dd3b45fa","chainId":56}	{"name": "Magpie Token", "symbol": "MGP", "decimals": 18}
{"address":"0x5927471e411615cE74e4ea828fd6253340e6b5AD","chainId":56}	{"name": "Dollar Shiba Inu", "symbol": "DShib", "decimals": 18}
{"address":"0xd86071108A965f3510482D3F932c363AfEAE76b1","chainId":56}	{"name": "BNB", "symbol": "BNB", "decimals": 18}
{"address":"0xd408987a4EF6664bf5273c75d35a7Bd9c9d11d51","chainId":56}	{"name": "Dollar Shiba Inu", "symbol": "DShib", "decimals": 18}
{"address":"0xCC42724C6683B7E57334c4E856f4c9965ED682bD","chainId":56}	{"name": "Matic Token", "symbol": "MATIC", "decimals": 18}
{"address":"0x439A62a7C5a02D2092eF741ffaE5776E8313Fb07","chainId":56}	{"name": "AI Floki Inu", "symbol": "AFI", "decimals": 9}
{"address":"0x8266Fa3adb0E15c8A3e45C63f7CEa051b03a1620","chainId":56}	{"name": "Hyper Wallet Token", "symbol": "HWT", "decimals": 6}
{"address":"0xaC60F566567fBC9c229E10e1fb73e69C8BbfD6e2","chainId":56}	{"name": "HyperNation Token", "symbol": "HNT", "decimals": 6}
{"address":"0xECa41281c24451168a37211F0bc2b8645AF45092","chainId":56}	{"name": "TokenPocket Token", "symbol": "TPT", "decimals": 4}
{"address":"0xb58532Cfb9b1Cb63a62dff851aaD82e2Ac88e72C","chainId":56}	{"name": "Shibchar", "symbol": "SHCH", "decimals": 18}
{"address":"0x778fC0580172bfeD6D063457bfaD0d99F351d926","chainId":56}	{"name": "dWrapper", "symbol": "WRP", "decimals": 9}
{"address":"0x3B77EeBe359A237EFF516Ac0Abd650dFe3E03446","chainId":56}	{"name": "Fly", "symbol": "FLY", "decimals": 18}
